ranking,pais,ambos_sexo,ranking_masculino,masculino,ranking_femenino,femino
173,Maldives,2.7,174,3.6,169,1.6
173,United Arab Emirates,2.7,175,3.5,181,0.8
175,Azerbaijan,2.6,169,4.3,175,1.0
176,Syria,2.4,173,3.8,173,1.1
176,Saint Vincent and the Grenadines,2.4,172,3.9,177,0.9
178,Kuwait,2.2,179,2.5,163,1.7
179,Jamaica,2.0,176,3.2,177,0.9
180,Grenada,1.7,181,2.1,175,1.0
181,Bahamas,1.6,178,2.8,182,0.5
182,Antigua and Barbuda,0.5,183,0.0,177,0.9
183,Barbados,0.4,182,0.8,183,0.3
